,reaction_id,CanonicalizedReaction,rxn_smiles,PatentNumber,ParagraphNum,Year,TextMinedYield,CalculatedYield,template,products_run,type,valid
2287,43015,CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21.OCCN1CCNCC1>>CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCN(CCO)CC3)cc21,[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[OH:19][CH2:20][CH2:21][N:22]1[CH2:23][CH2:24][NH:25][CH2:26][CH2:27]1>CS(C)=O>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:25]1[CH2:24][CH2:23][N:22]([CH2:21][CH2:20][OH:19])[CH2:27][CH2:26]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],US04292317,,1981,,61.3%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:25]1[CH2:24][CH2:23][N:22]([CH2:21][CH2:20][OH:19])[CH2:27][CH2:26]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[c:2]1([N:25]2[CH2:24][CH2:23][N:22]([CH2:21][CH2:20][OH:19])[CH2:27][CH2:26]2)[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],CX,True
2288,43017,C1COCCN1.CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21>>CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCOCC3)cc21,[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[NH:19]1[CH2:20][CH2:21][O:22][CH2:23][CH2:24]1>CS(C)=O>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:19]1[CH2:20][CH2:21][O:22][CH2:23][CH2:24]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],US04292317,,1981,,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:19]1[CH2:20][CH2:21][O:22][CH2:23][CH2:24]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[c:2]1([N:19]2[CH2:20][CH2:21][O:22][CH2:23][CH2:24]2)[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],CX,True
2289,43023,C1COCCN1.Cn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21>>Cn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCOCC3)cc21,[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH3:10])[cH:11][c:12]([C:13]([OH:14])=[O:15])[c:16]2=[O:17].[NH:18]1[CH2:19][CH2:20][O:21][CH2:22][CH2:23]1>CS(C)=O>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:18]1[CH2:19][CH2:20][O:21][CH2:22][CH2:23]1)[n:9]([CH3:10])[cH:11][c:12]([C:13]([OH:14])=[O:15])[c:16]2=[O:17],US04292317,,1981,,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:18]1[CH2:19][CH2:20][O:21][CH2:22][CH2:23]1)[n:9]([CH3:10])[cH:11][c:12]([C:13]([OH:14])=[O:15])[c:16]2=[O:17].[c:2]1([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH3:10])[cH:11][c:12]([C:13]([OH:14])=[O:15])[c:16]2=[O:17],CX,True
2290,43019,C1CCNC1.CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21>>CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCCC3)cc21,[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[NH:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1>CS(C)=O>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],US04292317,,1981,,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:19]1[CH2:20][CH2:21][CH2:22][CH2:23]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[c:2]1([N:19]2[CH2:20][CH2:21][CH2:22][CH2:23]2)[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],CX,True
2291,43025,CCn1cc(C(=O)O)c(=O)c2cc(Br)c(Cl)cc21.CN1CCNCC1>>CCn1cc(C(=O)O)c(=O)c2cc(Br)c(N3CCN(C)CC3)cc21,[Br:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[CH3:19][N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1>CS(C)=O.O>[Br:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:23]1[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],US04292317,,1981,,33.0%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[Br:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[N:23]1[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]1)[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18].[c:2]1([N:23]2[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]2)[cH:3][c:4]2[c:5]([cH:6][c:7]1[Cl:8])[n:9]([CH2:10][CH3:11])[cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17]2=[O:18],CX,True
2292,43035,CN1CCNCC1.O=C(O)c1cn(CCO)c2cc(Cl)c(F)cc2c1=O>>CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3CCO)CC1,[CH3:1][N:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1.[Cl:8][c:9]1[cH:10][c:11]2[c:12]([c:13](=[O:14])[c:15]([C:16]([OH:17])=[O:18])[cH:19][n:20]2[CH2:21][CH2:22][OH:23])[cH:24][c:25]1[F:26]>N1C=CC=CC=1>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:9]2[cH:10][c:11]3[c:12]([c:13](=[O:14])[c:15]([C:16]([OH:17])=[O:18])[cH:19][n:20]3[CH2:21][CH2:22][OH:23])[cH:24][c:25]2[F:26])[CH2:6][CH2:7]1,US04292317,,1981,,70.1%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:9]2[cH:10][c:11]3[c:12]([c:13](=[O:14])[c:15]([C:16]([OH:17])=[O:18])[cH:19][n:20]3[CH2:21][CH2:22][OH:23])[cH:24][c:25]2[F:26])[CH2:6][CH2:7]1.[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:25]2[c:9]([Cl:8])[cH:10][c:11]3[c:12]([c:13](=[O:14])[c:15]([C:16]([OH:17])=[O:18])[cH:19][n:20]3[CH2:21][CH2:22][OH:23])[cH:24]2)[CH2:6][CH2:7]1,CX,True
2293,43031,CN1CCNCC1.O=C(O)c1cn(Cc2ccccc2)c2cc(Cl)c(F)cc2c1=O>>CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3Cc2ccccc2)CC1,[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([Cl:9])[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[CH3:24][N:25]1[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1>N1C=CC=CC=1>[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:28]3[CH2:27][CH2:26][N:25]([CH3:24])[CH2:30][CH2:29]3)[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,US04292317,,1981,,,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:28]3[CH2:27][CH2:26][N:25]([CH3:24])[CH2:30][CH2:29]3)[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([N:28]3[CH2:27][CH2:26][N:25]([CH3:24])[CH2:30][CH2:29]3)[c:8]([Cl:9])[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,CX,True
2294,52729,CCn1cc(C(=O)O)c(=O)c2cc(F)c(F)c(F)c21.OC1CCCNC1>>CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(O)C3)c(F)c21,[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[OH:20][CH:21]1[CH2:22][CH2:23][CH2:24][NH:25][CH2:26]1>N1C=CC=CC=1>[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:25]3[CH2:24][CH2:23][CH2:22][CH:21]([OH:20])[CH2:26]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],US04398029,,1983,,53.7%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:25]3[CH2:24][CH2:23][CH2:22][CH:21]([OH:20])[CH2:26]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([N:25]3[CH2:24][CH2:23][CH2:22][CH:21]([OH:20])[CH2:26]3)[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[N:25]2[CH2:24][CH2:23][CH2:22][CH:21]([OH:20])[CH2:26]2)[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],CX,True
2295,52730,C1CCNC1.CCn1cc(C(=O)O)c(=O)c2cc(F)c(F)c(F)c21>>CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC3)c(F)c21,[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[NH:20]1[CH2:21][CH2:22][CH2:23][CH2:24]1>N1C=CC=CC=1>[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],US04398029,,1983,,66.5%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([N:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],CX,True
2296,52488,Cc1[nH]c(=O)[nH]c(=O)c1Cl.S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3>>Cc1[nH]c(=O)[nH]c(=S)c1Cl,[Cl:1][c:2]1[c:3](=[O:4])[nH:5][c:6](=[O:7])[nH:8][c:9]1[CH3:10].[P:11]12(=[S:12])[S:13][P:14]3(=[S:15])[S:16][P:17](=[S:18])([S:19][P:20](=[S:21])([S:22]3)[S:23]1)[S:24]2>O1CCOCC1>[Cl:1][c:2]1[c:3](=[S:15])[nH:5][c:6](=[O:7])[nH:8][c:9]1[CH3:10],US04395406,,1983,75%,,"[#7;a:1]:[c;H0;D3;+0:2](=[O;H0;D1;+0:3]):[c,n:4].[S;H0;D1;+0:5]=[P;H0;D4;+0:6]12-[S;H0;D2;+0:7]-[P;H0;D4;+0:8]3(=[S;H0;D1;+0:9])-[S;H0;D2;+0:10]-[P;H0;D4;+0:11](=[S;H0;D1;+0:12])(-[S;H0;D2;+0:13]-[P;H0;D4;+0:14](=[S;H0;D1;+0:15])(-[S;H0;D2;+0:16]-1)-[S;H0;D2;+0:17]-3)-[S;H0;D2;+0:18]-2>>[#7;a:1]:[c;H0;D3;+0:2](=[S;H0;D1;+0:15]):[c,n:4]",[Cl:1][c:2]1[c:3](=[S:15])[nH:5][c:6](=[O:7])[nH:8][c:9]1[CH3:10].[Cl:1][c:2]1[c:3](=[O:4])[nH:5][c:6](=[S:15])[nH:8][c:9]1[CH3:10],CX,True
2297,52731,C1COCCN1.CCn1cc(C(=O)O)c(=O)c2cc(F)c(F)c(F)c21>>CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOCC3)c(F)c21,[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[NH:20]1[CH2:21][CH2:22][O:23][CH2:24][CH2:25]1>N1C=CC=CC=1>[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:20]3[CH2:21][CH2:22][O:23][CH2:24][CH2:25]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],US04398029,,1983,,52.2%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([N:20]3[CH2:21][CH2:22][O:23][CH2:24][CH2:25]3)[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([N:20]3[CH2:21][CH2:22][O:23][CH2:24][CH2:25]3)[c:8]([F:9])[c:10]2[F:11])[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([F:7])[c:8]([F:9])[c:10]2[N:20]2[CH2:21][CH2:22][O:23][CH2:24][CH2:25]2)[c:12](=[O:13])[c:14]([C:15]([OH:16])=[O:17])[cH:18]1)[CH3:19],CX,True
2298,54661,CC1CCc2c(Cl)c(Cl)cc3c(=O)c(C(=O)O)cn1c23.O=C(N1CCNCC1)C(F)(F)F>>CC1CCc2c(N3CCN(C(=O)C(F)(F)F)CC3)c(Cl)cc3c(=O)c(C(=O)O)cn1c23,[Cl:1][c:2]1[c:3]2[c:4]3[n:5]([cH:6][c:7]([C:8]([OH:9])=[O:10])[c:11](=[O:12])[c:13]3[cH:14][c:15]1[Cl:16])[CH:17]([CH3:18])[CH2:19][CH2:20]2.[F:21][C:22]([F:23])([F:24])[C:25]([N:26]1[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]1)=[O:32]>CN(P(N(C)C)(N(C)C)=O)C>[c:2]1([N:29]2[CH2:28][CH2:27][N:26]([C:25]([C:22]([F:21])([F:23])[F:24])=[O:32])[CH2:31][CH2:30]2)[c:3]2[c:4]3[n:5]([cH:6][c:7]([C:8]([OH:9])=[O:10])[c:11](=[O:12])[c:13]3[cH:14][c:15]1[Cl:16])[CH:17]([CH3:18])[CH2:19][CH2:20]2,US04416884,,1983,,50.6%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[c:2]1([N:29]2[CH2:28][CH2:27][N:26]([C:25]([C:22]([F:21])([F:23])[F:24])=[O:32])[CH2:31][CH2:30]2)[c:3]2[c:4]3[n:5]([cH:6][c:7]([C:8]([OH:9])=[O:10])[c:11](=[O:12])[c:13]3[cH:14][c:15]1[Cl:16])[CH:17]([CH3:18])[CH2:19][CH2:20]2.[Cl:1][c:2]1[c:3]2[c:4]3[n:5]([cH:6][c:7]([C:8]([OH:9])=[O:10])[c:11](=[O:12])[c:13]3[cH:14][c:15]1[N:29]1[CH2:28][CH2:27][N:26]([C:25]([C:22]([F:21])([F:23])[F:24])=[O:32])[CH2:31][CH2:30]1)[CH:17]([CH3:18])[CH2:19][CH2:20]2,CX,True
2299,54662,C#CCN1CCNCC1.CC1CCc2c(Cl)c(Cl)cc3c(=O)c(C(=O)O)cn1c23>>C#CCN1CCN(c2c(Cl)cc3c(=O)c(C(=O)O)cn4c3c2CCC4C)CC1,[CH2:1]([N:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1)[C:8]#[CH:9].[Cl:10][c:11]1[c:12]2[c:13]3[n:14]([cH:15][c:16]([C:17]([OH:18])=[O:19])[c:20](=[O:21])[c:22]3[cH:23][c:24]1[Cl:25])[CH:26]([CH3:27])[CH2:28][CH2:29]2>CN(P(N(C)C)(N(C)C)=O)C>[CH2:1]([N:2]1[CH2:3][CH2:4][N:5]([c:11]2[c:12]3[c:13]4[n:14]([cH:15][c:16]([C:17]([OH:18])=[O:19])[c:20](=[O:21])[c:22]4[cH:23][c:24]2[Cl:25])[CH:26]([CH3:27])[CH2:28][CH2:29]3)[CH2:6][CH2:7]1)[C:8]#[CH:9],US04416884,,1983,,58.5%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([N:2]1[CH2:3][CH2:4][N:5]([c:11]2[c:12]3[c:13]4[n:14]([cH:15][c:16]([C:17]([OH:18])=[O:19])[c:20](=[O:21])[c:22]4[cH:23][c:24]2[Cl:25])[CH:26]([CH3:27])[CH2:28][CH2:29]3)[CH2:6][CH2:7]1)[C:8]#[CH:9].[CH2:1]([N:2]1[CH2:3][CH2:4][N:5]([c:24]2[c:11]([Cl:10])[c:12]3[c:13]4[n:14]([cH:15][c:16]([C:17]([OH:18])=[O:19])[c:20](=[O:21])[c:22]4[cH:23]2)[CH:26]([CH3:27])[CH2:28][CH2:29]3)[CH2:6][CH2:7]1)[C:8]#[CH:9],CX,True
2300,57605,CN1CCNCC1.O=C(O)c1cn(CCF)c2cc(Cl)c(F)cc2c1=O>>CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3CCF)CC1,[CH3:1][N:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1.[F:8][CH2:9][CH2:10][n:11]1[c:12]2[c:13]([cH:14][c:15]([F:16])[c:17]([Cl:18])[cH:19]2)[c:20](=[O:21])[c:22]([C:23]([OH:24])=[O:25])[cH:26]1>N1C=CC=CC=1>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:17]2[c:15]([F:16])[cH:14][c:13]3[c:12]([n:11]([CH2:10][CH2:9][F:8])[cH:26][c:22]([C:23]([OH:24])=[O:25])[c:20]3=[O:21])[cH:19]2)[CH2:6][CH2:7]1,US04448962,,1984,57%,56.9%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:17]2[c:15]([F:16])[cH:14][c:13]3[c:12]([n:11]([CH2:10][CH2:9][F:8])[cH:26][c:22]([C:23]([OH:24])=[O:25])[c:20]3=[O:21])[cH:19]2)[CH2:6][CH2:7]1.[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:15]2[cH:14][c:13]3[c:12]([n:11]([CH2:10][CH2:9][F:8])[cH:26][c:22]([C:23]([OH:24])=[O:25])[c:20]3=[O:21])[cH:19][c:17]2[Cl:18])[CH2:6][CH2:7]1,CX,True
2301,57607,CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21.CN1CCNCC1>>CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCN(C)CC3)cc21,[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([Cl:7])[c:8]([Cl:9])[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[CH3:18].[CH3:19][N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1>O>[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([Cl:7])[c:8]([N:23]3[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]3)[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[CH3:18],US04448962,,1984,30%,30.0%,"[C:1]-[NH;D2;+0:2]-[C:3].[F,Cl,Br,I;H0;D1;+0:4]-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[c;H0;D3;+0:5](:[c,n:6]):[c,n:7]",[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([Cl:7])[c:8]([N:23]3[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]3)[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[CH3:18].[CH2:1]([n:2]1[c:3]2[c:4]([cH:5][c:6]([N:23]3[CH2:22][CH2:21][N:20]([CH3:19])[CH2:25][CH2:24]3)[c:8]([Cl:9])[cH:10]2)[c:11](=[O:12])[c:13]([C:14]([OH:15])=[O:16])[cH:17]1)[CH3:18],CX,True
